serial_number,model_type,Age,20_40,40_60,60_80,80_100,total_days,Latitude,Longitude,City
0901Q64993,19XR,2001,1.512859304,43.2677761,44.47806354,11.34644478,214,38.0407424,-84.491503,Lexington
0909Q18793,19XR,2009,0,75.86100861,22.19147191,1.937269373,186,45.3874592,-75.6982987,Ottawa
0909Q18794,19XR,2009,0,0,0,0,26,45.3874592,-75.6982987,Ottawa
1000Q63388,19XR,2000,1.096491228,98.24561404,0.657894737,0,40,40.7671519,-73.990953,New York
1000Q63389,19XR,2000,85.90492077,12.8440367,0.834028357,0.333611343,40,40.7671519,-73.990953,New York
1004Q68981,19XR,2004,0.013130808,1.259710444,20.00033886,78.70055827,253,39.0436199,106.39927,??
1004Q68982,19XR,2004,0.124597091,1.931254909,23.09379994,73.95379073,253,39.0436199,106.39927,??
1007Q73881,19XR,2007,1.529258527,5.53813498,55.28004245,35.2694293,202,13.8143784,99.8515593,Ratchaburi
1007Q73882,19XR,2007,0.68511838,21.40237063,74.00491103,3.107284688,202,13.8143784,99.8515593,Ratchaburi
100Q59938,19XR,2000,0,0,0,0,30,43.8136895,-79.3440082,North York
100Q59939,19XR,2000,0,0,0,0,55,43.8136895,-79.3440082,North York
1010Q19583,19XR,2010,0,38.87227137,47.61025902,13.49837714,186,45.3874592,-75.6982987,Ottawa
1010Q19584,19XR,2010,0,48.5702802,37.90767111,13.510565,127,45.3874592,-75.6982987,Ottawa
1013Q22509,19XR,2013,11.31090487,71.22969838,8.874709977,8.584686775,227,28.5124389,77.1370115,Delhi
1013Q22510,19XR,2013,0,0,0,0,87,28.5124389,77.1370115,Delhi
1015Q24112,19XR,2015,0.026600461,7.102323107,88.90760773,3.936868239,252,29.2886069,47.9061441,ARDIYA
1015Q24113,19XR,2015,0,5.00785546,91.29025923,3.682246661,252,29.2886069,47.9061441,ARDIYA
1016Q24979,19XR,2016,5.263157895,92.10526316,2.631578947,0,224,29.31166,47.481766,AL RAI
1017Q25807,19XR,2017,0.016733601,46.73694779,42.1352075,10.9772423,92,10.7898739,106.7031526,Ho Chi Minh
1017Q25808,19XR,2017,0.030588055,57.60495526,41.0491703,1.315286381,106,10.8711441,106.8107586,Ho Chi Minh
1021Q28511,19XR,2021,0,0,0,0,0,25.1288099,56.3264849,Fujairah
1021Q28512,19XR,2021,0.288076152,74.5991984,20.67885772,4.433867735,254,25.1288099,56.3264849,Fujairah
1100Q63443,19XR,2000,0,80.30604853,15.8879633,3.802969938,190,14.0481268,100.8169307,Pathum thani
1101Q65300,19XR,2001,0.01867065,48.22628827,45.64973861,6.086631815,36,32.5060575,-84.9601335,Columbus
1101Q65301,19XR,2001,0.711201422,56.05791212,26.74625349,16.48463297,36,32.5060575,-84.9601335,Columbus
1107Q73750,19XR,2007,0,0,0,0,0,29.281596,47.9602518,FARWANIYA
1107Q73751,19XR,2007,0.009404684,40.02946801,53.57534719,6.341891595,253,29.281596,47.9602518,FARWANIYA
1115Q24114,19XR,2015,0.008534608,8.927199795,88.07715285,2.961508919,252,29.2886069,47.9061441,ARDIYA
1115Q24115,19XR,2015,0,4.706390328,93.12032239,2.173287277,252,29.2886069,47.9061441,ARDIYA
1117Q25809,19XR,2017,0.028608211,57.35231011,37.71992562,4.884851953,107,10.7898739,106.7031526,Ho Chi Minh
1121Q28404,19XR,2021,2.941176471,79.41176471,11.76470588,5.882352941,0,36.0735672,-95.9184801,Tulsa
1121Q28510,19XR,2021,0.522602561,71.80559185,21.0608832,6.428011497,247,25.1288099,56.3264849,Fujairah
1200Q63441,19XR,2000,0,0,0,0,119,14.0481268,100.8169307,Pathum thani
1203Q67234,19XR,2003,0.094643195,0.927503313,44.10372894,54.82680295,244,13.7913824,100.5495232,Bangkok
1203Q67236,19XR,2003,0.237529691,3.087885986,86.22327791,10.45130641,244,13.7913824,100.5495232,Bangkok
1204Q69129,19XR,2004,0,40.84507042,59.15492958,0,15,21.6033435,39.1092294,Jeddah
